Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","203","Spain","5419","Yield","44","Barley","2016","2016","hg/ha","35800","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","44","Barley","2017","2017","hg/ha","22275","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","44","Barley","2018","2018","hg/ha","37184","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","44","Barley","2019","2019","hg/ha","28751","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","101","Canary seed","2016","2016","hg/ha","12071","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","101","Canary seed","2017","2017","hg/ha","7827","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","108","Cereals nes","2016","2016","hg/ha","25138","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","108","Cereals nes","2017","2017","hg/ha","22014","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","108","Cereals nes","2018","2018","hg/ha","26462","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","108","Cereals nes","2019","2019","hg/ha","28344","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","103","Grain, mixed","2016","2016","hg/ha","15171","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","103","Grain, mixed","2017","2017","hg/ha","15093","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","103","Grain, mixed","2018","2018","hg/ha","32886","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","103","Grain, mixed","2019","2019","hg/ha","19615","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","56","Maize","2016","2016","hg/ha","113270","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","56","Maize","2017","2017","hg/ha","113169","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","56","Maize","2018","2018","hg/ha","119196","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","56","Maize","2019","2019","hg/ha","117268","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","79","Millet","2016","2016","hg/ha","24850","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","79","Millet","2017","2017","hg/ha","23054","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","75","Oats","2016","2016","hg/ha","21773","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","75","Oats","2017","2017","hg/ha","15091","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","75","Oats","2018","2018","hg/ha","27807","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","75","Oats","2019","2019","hg/ha","18552","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","27","Rice, paddy","2016","2016","hg/ha","76451","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","27","Rice, paddy","2017","2017","hg/ha","77616","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","27","Rice, paddy","2018","2018","hg/ha","76077","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","75339","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","71","Rye","2016","2016","hg/ha","24305","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","71","Rye","2017","2017","hg/ha","12877","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","71","Rye","2018","2018","hg/ha","29672","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","71","Rye","2019","2019","hg/ha","18941","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","83","Sorghum","2016","2016","hg/ha","44758","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","83","Sorghum","2017","2017","hg/ha","43314","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","83","Sorghum","2018","2018","hg/ha","43853","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","83","Sorghum","2019","2019","hg/ha","39223","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","97","Triticale","2016","2016","hg/ha","24182","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","97","Triticale","2017","2017","hg/ha","18166","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","97","Triticale","2018","2018","hg/ha","31696","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","97","Triticale","2019","2019","hg/ha","23924","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","15","Wheat","2016","2016","hg/ha","34886","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","15","Wheat","2017","2017","hg/ha","23263","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","15","Wheat","2018","2018","hg/ha","40328","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","15","Wheat","2019","2019","hg/ha","31463","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","1804","Citrus Fruit, Total","2016","2016","hg/ha","239928","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","1804","Citrus Fruit, Total","2017","2017","hg/ha","215132","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","1804","Citrus Fruit, Total","2018","2018","hg/ha","227740","Fc","Calculated data"
"QC","Crops","203","Spain","5419","Yield","1804","Citrus Fruit, Total","2019","2019","hg/ha","202727","Fc","Calculated data"
